weighted_rank,station_complex_id,station,passenger_weighted_average_stops,passenger_weighted_closeness
408,N193,Beach 44 St (A),22.13023660233439,0.0451870451260568
409,N186,"Beach 105 St (A,S)",22.13849840026771,0.0451701819120626
410,R331,"Gun Hill Rd (2,5)",22.33396099292872,0.0447748610430821
411,R730,Eastchester-Dyre Av (5),22.372606860505773,0.0446975180959038
412,R421,Middletown Rd (6),22.93202354078553,0.0436071416995303
413,N194,Beach 36 St (A),23.12780640926008,0.0432379959562275
414,N187,"Rockaway Park-Beach 116 St (A,S)",23.13820077109256,0.043218572173915
415,R332,"219 St (2,5)",23.327647311218755,0.042867589116845
416,R422,Buhre Av (6),23.928382476781284,0.0417913747814062
417,N195,Beach 25 St (A),24.12569939100534,0.0414495755664113
418,R333,"225 St (2,5)",24.32228611228506,0.0411145562297659
419,R423,Pelham Bay Park (6),24.926120071592702,0.0401185582484479
420,N196,Far Rockaway-Mott Av (A),25.124181949133494,0.0398022909571584
421,R334,"233 St (2,5)",25.318044479305943,0.0394975212567212
422,R335,"Nereid Av (2,5)",26.31537370881985,0.0380006003739494
423,R336,Wakefield-241 St (2),27.31379387607638,0.0366115379114682
